NAME,UCODE,PROVINCE,CITY
ESCUELA POLITÉCNICA NACIONAL,EPN,PICHINCHA,QUITO
ESCUELA SUPERIOR POLITÉCNICA DE CHIMBORAZO,ESPOCH,CHIMBORAZO,RIOBAMBA
ESCUELA SUPERIOR POLITÉCNICA AGROPECUARIA DE MANABÍ,ESPAM,MANABÍ,CALCETA
UNIVERSIDAD  CENTRAL DEL ECUADOR,UCE,PICHINCHA,QUITO
UNIVERSIDAD  DE GUAYAQUIL,UG,GUAYAS,GUAYAQUIL
UNIVERSIDAD  DE CUENCA,UCUENCA,AZUAY,CUENCA
UNIVERSIDAD  NACIONAL DE LOJA,UNL,LOJA,LOJA
UNIVERSIDAD  TÉCNICA DE MANABÍ,UTM,MANABÍ,PORTOVIEJO
UNIVERSIDAD  TÉCNICA DE AMBATO,UTA,TUNGURAHUA,AMBATO
UNIVERSIDAD  TÉCNICA DE MACHALA,UTMACH,EL ORO,MACHALA
UNIVERSIDAD  TÉCNICA LUIS VARGAS TORRES DE ESMERALDAS,UTELVT,ESMERALDAS,ESMERALDAS
UNIVERSIDAD  TÉCNICA DE BABAHOYO,UTB,LOS RÍOS,BABAHOYO
UNIVERSIDAD  TÉCNICA ESTATAL DE QUEVEDO,UTEQ,LOS RÍOS,QUEVEDO
UNIVERSIDAD  TÉCNICA DEL NORTE,UTN,IMBABURA,IBARRA
UNIVERSIDAD  LAICA ELOY ALFARO DE MANABÍ,ULEAM,MANABÍ,MANTA
UNIVERSIDAD  ESTATAL DE BOLÍVAR,UEB,BOLÍVAR,GUARANDA
UNIVERSIDAD  AGRARIA DEL ECUADOR,UAE,GUAYAS,GUAYAQUIL
UNIVERSIDAD  NACIONAL DE CHIMBORAZO,UNC,CHIMBORAZO,RIOBAMBA
UNIVERSIDAD  TÉCNICA DE COTOPAXI,UTC,COTOPAXI,LATACUNGA
ESCUELA SUPERIOR POLITÉCNICA DEL LITORAL,ESPOL,GUAYAS,GUAYAQUIL
UNIVERSIDAD  ANDINA SIMÓN BOLÍVAR,UASB,PICHINCHA,QUITO
UNIVERSIDAD  ESTATAL PENÍNSULA DE SANTA ELENA,UPSE,SANTA ELENA,LA LIBERTAD
UNIVERSIDAD  ESTATAL DE MILAGRO,UNEMI,GUAYAS,MILAGRO
UNIVERSIDAD  ESTATAL DEL SUR DE MANABÍ,UESM,MANABÍ,JIPIJAPA
FACULTAD LATINOAMERICANA DE CIENCIAS SOCIALES,FLACSO,PICHINCHA,QUITO
PONTIFICIA UNIVERSIDAD CATÓLICA DEL ECUADOR,PUCE,PICHINCHA,QUITO
UNIVERSIDAD  CATÓLICA DE SANTIAGO DE GUAYAQUIL,UCSG,GUAYAS,GUAYAQUIL
UNIVERSIDAD  CATÓLICA DE CUENCA,UCACUE,AZUAY,CUENCA
UNIVERSIDAD  LAICA VICENTE ROCAFUERTE DE GUAYAQUIL,ULEAM,GUAYAS,GUAYAQUIL
UNIVERSIDAD  TÉCNICA PARTICULAR DE LOJA,UTPL,LOJA,LOJA
