Code,Description
A0111,"Growing of cereals (except rice), leguminous crops and oil seeds"
A0112,Growing of rice
A0113,"Growing of vegetables and melons, roots and tubers"
A0114,Growing of sugar cane
A0115,Growing of tobacco
A0116,Growing of fibre crops
A0119,Growing of other non-perennial crops
A0121,Growing of grapes
A0122,Growing of tropical and subtropical fruits
A0123,Growing of citrus fruits
A0124,Growing of pome fruits and stone fruits
A0125,Growing of other tree and bush fruits and nuts
A0126,Growing of oleaginous fruits
A0127,Growing of beverage crops
A0128,"Growing of spices, aromatic, drug and pharmaceutical crops"
A0129,Growing of other perennial crops
A0130,Plant propagation
A0141,Raising of cattle and buffaloes
A0142,Raising of horses and other equines
A0143,Raising of camels and camelids
A0144,Raising of sheep and goats
A0145,Raising of swine/pigs
A0146,Raising of poultry
A0149,Raising of other animals
A0150,Mixed farming
A0161,Support activities for crop production
A0162,Support activities for animal production
A0163,Post-harvest crop activities
A0164,Seed processing for propagation
A0170,"Hunting, trapping and related service activities"
A0210,Silviculture and other forestry activities
A0220,Logging
A0230,Gathering of non-wood forest products
A0240,Support services to forestry
A0311,Marine fishing
A0312,Freshwater fishing
A0321,Marine aquaculture
A0322,Freshwater aquaculture
B0510,Mining of hard coal
B0520,Mining of lignite
B0610,Extraction of crude petroleum
B0620,Extraction of natural gas
B0710,Mining of iron ores
B0721,Mining of uranium and thorium ores
B0729,Mining of other non-ferrous metal ores
B0810,"Quarrying of stone, sand and clay"
B0891,Mining of chemical and fertilizer minerals
B0893,Extraction of salt
B0899,Other mining and quarrying n.e.c.
B0910,Support activities for petroleum and natural gas extraction
B0990,Support activities for other mining and quarrying
C1010,Processing and preserving of meat
C1020,"Processing and preserving of fish, crustaceans and molluscs"
C1030,Processing and preserving of fruit and vegetables
C1040,Manufacture of vegetable and animal oils and fats
C1050,Manufacture of dairy products
C1061,Manufacture of grain mill products
C1062,Manufacture of starches and starch products
C1071,Manufacture of bakery products
C1072,Manufacture of sugar
C1073,"Manufacture of cocoa, chocolate and sugar confectionery"
C1074,"Manufacture of macaroni, noodles, couscous and similar farinaceous products"
C1075,Manufacture of prepared meals and dishes
C1079,Manufacture of other food products n.e.c.
C1080,Manufacture of prepared animal feeds
C1101,"Distilling, rectifying and blending of spirits"
C1102,Manufacture of wines
C1103,Manufacture of malt liquors and malt
C1104,Manufacture of soft drinks; production of mineral waters and other bottled waters
C1200,Manufacture of tobacco products
C1311,Preparation and spinning of textile fibres
C1312,Weaving of textiles
C1313,Finishing of textiles
C1391,Manufacture of knitted and crocheted fabrics
C1392,"Manufacture of made-up textile articles, except apparel"
